,common_name,temperature_germination,temperature_growing,days_germination,days_harvest,ph_range,ph,chalk,clay,loam,peat,sand,silt,water_code,nutrients_code,temperature_class_code,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,season_biennial,season_mixed,season_perenial,season_perennial,season_unknown
74,Squash (Summer),35.0,21.0,4.0,60.0,1.0,6.5,0,0,0,0,0,0,3,4,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75,Squash (Winter),35.0,21.0,5.0,102.5,1.5,6.25,0,0,0,0,0,0,3,4,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
76,Swede / Rutabaga,26.0,18.5,4.0,90.0,1.5,6.25,0,0,0,0,0,0,3,1,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
77,Sweet Potato,26.0,23.5,4.0,112.5,0.5,5.75,0,0,0,0,1,1,3,2,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
78,Sweetcorn,30.0,25.5,3.0,85.0,1.0,6.5,0,1,0,0,0,0,4,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
79,Swiss Chard,30.0,18.5,4.0,55.0,1.5,6.75,0,1,0,0,0,0,3,1,5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
80,Tatsoi,26.0,18.5,4.0,52.5,1.5,6.75,0,0,0,0,0,0,3,2,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
81,Tomato (Cherry),26.0,23.0,6.0,75.0,2.0,6.5,0,0,0,0,0,0,3,4,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
82,Tomato (Regular),26.0,23.0,6.0,75.0,2.0,6.5,0,0,0,0,0,0,3,4,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
83,Winter Field Beans,10.0,18.5,4.0,135.0,1.0,6.5,0,0,0,0,0,0,2,2,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
